State,Population
New South Wales,"8,157,735"
Victoria,"6,689,377"
Queensland,"5,160,023"
Western Australia,"2,656,156"
South Australia,"1,767,247"
Tasmania,"539,590"
Australian Capital Territory,"429,834"
Northern Territory,"245,353"
